City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
153,Antofagasta,-23.65,-70.4,59.0,67,75,11.41,CL,broken clouds
154,Te Anau,-45.42,167.72,38.62,87,99,1.41,NZ,overcast clouds
155,Tomatlan,19.93,-105.25,90.72,63,54,8.41,MX,broken clouds
156,Tongchuan,35.08,109.09,65.93,81,89,6.17,CN,overcast clouds
157,La Libertad,-2.23,-80.9,69.8,83,90,8.05,EC,overcast clouds
158,Gat,31.61,34.76,82.0,34,0,1.9,IL,clear sky
159,Kungurtug,50.6,97.52,45.32,67,99,1.7,RU,overcast clouds
160,Ampanihy,-24.7,44.75,66.36,79,0,4.65,MG,clear sky
161,Whitehorse,60.72,-135.05,57.2,82,75,8.05,CA,broken clouds
162,Clyde River,70.47,-68.59,43.54,83,100,5.53,CA,overcast clouds
163,Florida,28.75,-82.5,93.99,55,75,6.93,US,broken clouds
164,Kaitangata,-46.28,169.85,52.0,90,97,14.0,NZ,overcast clouds
165,San Patricio,19.22,-104.7,91.4,66,40,11.41,MX,scattered clouds
166,Kaabong,3.48,34.15,67.08,66,100,6.06,UG,overcast clouds
167,Colac,-38.33,143.58,39.99,98,83,4.07,AU,broken clouds
168,Curumani,9.2,-73.54,85.78,74,73,0.72,CO,moderate rain
169,Mangrol,21.12,70.12,81.39,85,100,21.14,IN,moderate rain
170,Eenhana,-17.47,16.33,75.2,25,3,3.36,NA,clear sky
171,Marsabit,2.33,37.99,66.92,70,100,24.09,KE,overcast clouds
172,Nantucket,41.28,-70.1,73.4,88,90,10.29,US,mist
173,Dunedin,-45.87,170.5,48.99,96,100,4.0,NZ,light rain
174,Ewa Beach,21.32,-158.01,84.2,62,40,6.93,US,scattered clouds
175,Quebec,46.81,-71.21,75.2,73,75,9.17,CA,broken clouds
176,Khasan,42.43,130.64,67.37,95,100,2.04,RU,overcast clouds
177,Mian Channun,30.44,72.35,89.53,48,0,8.28,PK,clear sky
178,Salalah,17.02,54.09,77.0,100,90,4.7,OM,overcast clouds
179,Khash,28.22,61.22,75.54,67,0,3.89,IR,clear sky
180,Chuy,-33.7,-53.46,59.32,71,0,10.67,UY,clear sky
181,Sitka,57.05,-135.33,60.8,77,90,4.7,US,overcast clouds
182,Talnakh,69.49,88.4,57.2,82,100,13.42,RU,overcast clouds
183,Doha,25.29,51.53,91.99,84,0,3.36,QA,clear sky
184,Bethel,41.37,-73.41,88.0,51,20,10.29,US,few clouds
185,Severo-Kurilsk,50.68,156.12,51.31,82,31,0.74,RU,scattered clouds
186,Pevek,69.7,170.31,37.31,95,100,3.74,RU,overcast clouds
187,Lagoa,39.05,-27.98,73.56,89,0,15.17,PT,clear sky
188,Bambanglipuro,-7.95,110.28,72.86,89,19,3.18,ID,few clouds
189,Tripoli,32.88,13.19,79.39,83,0,6.55,LY,clear sky
190,Grindavik,63.84,-22.43,53.6,71,43,6.93,IS,scattered clouds
191,Shimoda,34.67,138.95,70.0,93,100,1.01,JP,overcast clouds
192,Guerrero Negro,27.98,-114.06,85.3,44,40,17.78,MX,scattered clouds
193,Calbuco,-41.77,-73.13,50.0,87,75,16.11,CL,broken clouds
194,Christchurch,-43.53,172.63,53.01,100,100,3.36,NZ,light rain
195,Zharkent,44.16,80.0,71.37,28,70,2.53,KZ,broken clouds
196,Voinesti,47.07,27.42,78.8,34,20,11.41,RO,thunderstorm
197,Solnechnyy,50.72,136.63,55.62,90,100,1.54,RU,overcast clouds
198,Nanakuli,21.39,-158.15,84.2,62,40,6.93,US,scattered clouds
199,Nome,64.5,-165.41,53.6,81,90,5.82,US,overcast clouds
200,Krutinka,56.01,71.51,51.46,92,96,8.41,RU,overcast clouds
201,Mbandaka,0.05,18.26,69.94,89,77,1.01,CD,broken clouds
202,Aljezur,37.32,-8.8,68.0,77,0,13.96,PT,clear sky
203,Dauphin,51.15,-100.05,77.0,36,1,9.17,CA,clear sky
204,Okoneshnikovo,54.84,75.08,51.78,92,0,4.23,RU,clear sky
205,Leningradskiy,69.38,178.42,44.22,86,97,12.41,RU,overcast clouds
206,Yenagoa,4.92,6.26,75.13,87,100,5.1,NG,overcast clouds
207,Nanortalik,60.14,-45.24,46.96,78,0,5.01,GL,clear sky
208,Sinnamary,5.38,-52.95,83.43,75,18,9.66,GF,light rain
209,Sao Felix Do Xingu,-6.64,-51.99,97.81,21,33,4.21,BR,scattered clouds
210,Husavik,66.04,-17.34,51.8,71,81,4.7,IS,broken clouds
211,Zhanaozen,43.3,52.8,69.39,36,100,11.03,KZ,overcast clouds
212,Port-Cartier,50.03,-66.87,64.4,52,20,6.93,CA,few clouds
213,Castel Volturno,41.01,13.95,80.6,88,20,3.71,IT,few clouds
214,Veraval,20.9,70.37,81.45,85,100,20.15,IN,moderate rain
215,Wagar,16.15,36.2,92.37,45,97,15.1,SD,overcast clouds
216,New Norfolk,-42.78,147.06,37.99,87,15,3.38,AU,few clouds
217,Mitsamiouli,-11.38,43.28,75.94,70,42,1.81,KM,scattered clouds
218,Stornoway,58.21,-6.39,50.0,71,100,5.82,GB,overcast clouds
219,Porto Novo,6.5,2.6,77.0,88,20,12.75,BJ,few clouds
220,Kemijarvi,66.71,27.43,57.07,86,83,10.25,FI,broken clouds
221,Maungatapere,-35.75,174.2,55.99,3,82,8.01,NZ,broken clouds
222,Hongjiang,27.11,110.0,75.81,86,0,3.69,CN,clear sky
223,Neyshabur,36.21,58.8,75.0,38,0,2.93,IR,clear sky
224,Zatoka,46.07,30.47,69.8,73,0,5.3,UA,clear sky
225,Fortuna,40.6,-124.16,69.01,72,1,11.41,US,clear sky
226,General Jose Eduvigis Diaz,-27.17,-58.42,77.0,25,0,9.17,PY,clear sky
227,Lafiagi,8.87,5.42,76.06,83,100,2.91,NG,overcast clouds
228,Lucapa,-8.42,20.74,71.1,66,88,3.18,AO,overcast clouds
229,Luderitz,-26.65,15.16,59.74,68,0,9.15,NA,clear sky
230,Mastic Beach,40.77,-72.85,84.0,69,1,10.29,US,clear sky
231,Misratah,32.38,15.09,81.1,81,0,11.23,LY,clear sky
232,Chanthaburi,12.83,102.17,84.0,83,82,2.71,TH,broken clouds
233,Menongue,-14.66,17.69,61.3,33,80,2.77,AO,broken clouds
234,Nizhneudinsk,54.91,99.03,51.44,82,99,2.89,RU,overcast clouds
235,Diamantino,-14.41,-56.45,95.23,21,11,2.15,BR,few clouds
236,Hobyo,5.35,48.53,75.97,77,60,24.0,SO,broken clouds
237,Dolores,-36.31,-57.68,57.31,61,0,13.67,AR,clear sky
238,Karera,25.47,78.15,77.9,85,94,13.09,IN,overcast clouds
239,Nybro,56.74,15.91,62.01,93,0,6.93,SE,clear sky
240,Portland,45.52,-122.68,78.01,53,1,5.82,US,clear sky
241,Novoanninskiy,50.53,42.67,55.99,79,0,1.01,RU,clear sky
242,Alice Springs,-23.7,133.88,48.2,42,0,4.81,AU,clear sky
243,San Pedro Buenavista,16.08,-93.12,82.4,69,75,4.7,MX,broken clouds
244,Kahului,20.89,-156.47,87.8,43,20,20.8,US,few clouds
245,Balikpapan,-1.27,116.83,75.16,87,43,5.28,ID,scattered clouds
246,Atasu,48.68,71.64,65.97,44,100,4.54,KZ,overcast clouds
247,Aripuana,-9.17,-60.63,99.5,20,0,1.77,BR,clear sky
248,Korla,41.76,86.15,77.2,33,0,2.46,CN,clear sky
249,Kadaya,50.93,119.29,52.32,98,69,2.33,RU,broken clouds
250,Santo Estevao,-12.43,-39.25,74.17,73,68,9.64,BR,broken clouds
251,Bismil,37.85,40.67,78.8,52,0,5.82,TR,clear sky
252,Necochea,-38.55,-58.74,64.99,43,0,17.0,AR,clear sky
253,Omboue,-1.57,9.26,74.01,76,100,8.48,GA,overcast clouds
