City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
111,Sao Manuel,BR,73.4,clear sky,-22.73,-48.57,Zeminian & Zeminian Ltda
114,Abrau-Dyurso,RU,69.8,clear sky,44.69,37.59,Avgustin Inn
117,Aklavik,CA,62.6,broken clouds,68.22,-135.01,Aklavik Inn
122,Mbanza-Ngungu,CD,71.08,scattered clouds,-5.25,14.87,Hotel Full Business
128,Svetlogorsk,BY,64.09,moderate rain,52.63,29.73,Hotel Svetlogorsk JBIK
130,Fairbanks,US,63.0,haze,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
133,Quelimane,MZ,71.01,clear sky,-17.88,36.89,Hotel Flamingo
135,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
136,Gijon,ES,68.0,scattered clouds,43.54,-5.66,Hotel Norte
138,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
145,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
146,Carnarvon,AU,64.4,clear sky,-24.87,113.63,Hospitality Carnarvon
149,Leek,NL,63.0,overcast clouds,53.16,6.38,Fletcher Hotel-Restaurant Langewold
150,Kindu,CD,70.79,light rain,-2.95,25.95,Hotel Karibu
156,Tongchuan,CN,65.93,overcast clouds,35.08,109.09,Tongchuan Hotel
157,La Libertad,EC,69.8,overcast clouds,-2.23,-80.9,Playa Canela Hotel Boutique
160,Ampanihy,MG,66.36,clear sky,-24.7,44.75,Angora Hotel
166,Kaabong,UG,67.08,overcast clouds,3.48,34.15,Rock Motel Ltd
171,Marsabit,KE,66.92,overcast clouds,2.33,37.99,Chicho Hotel
172,Nantucket,US,73.4,mist,41.28,-70.1,Jared Coffin House
176,Khasan,RU,67.37,overcast clouds,42.43,130.64,Krako Motorkár
181,Sitka,US,60.8,overcast clouds,57.05,-135.33,Westmark Sitka
187,Lagoa,PT,73.56,clear sky,39.05,-27.98,Casa Das Faias
188,Bambanglipuro,ID,72.86,few clouds,-7.95,110.28,Puri Brata
191,Shimoda,JP,70.0,overcast clouds,34.67,138.95,Shimoda Tokyu Hotel
195,Zharkent,KZ,71.37,broken clouds,44.16,80.0,гостиница Satti
201,Mbandaka,CD,69.94,broken clouds,0.05,18.26,Guest House Epervier
202,Aljezur,PT,68.0,clear sky,37.32,-8.8,Amazigh Hostel
211,Zhanaozen,KZ,69.39,overcast clouds,43.3,52.8,K.korabay 28A
212,Port-Cartier,CA,64.4,few clouds,50.03,-66.87,Le Q'Artier
223,Neyshabur,IR,75.0,clear sky,36.21,58.8,Amiran Hotel
224,Zatoka,UA,69.8,clear sky,46.07,30.47,Solnechnaya
225,Fortuna,US,69.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
228,Lucapa,AO,71.1,overcast clouds,-8.42,20.74,Residência Ulisses Dos Santos
233,Menongue,AO,61.3,broken clouds,-14.66,17.69,Ritz Lauca
239,Nybro,SE,62.01,clear sky,56.74,15.91,Villa Nostalgia
246,Atasu,KZ,65.97,overcast clouds,48.68,71.64,Dostyk
250,Santo Estevao,BR,74.17,broken clouds,-12.43,-39.25,Campo Hotel
